DEBUG [main] - ==>  Preparing: SELECT empno,ename,job,mgr,hiredate,sal,comm,deptno FROM scott.emp WHERE (Ename LIKE ? AND Comm LIKE ? AND Sal LIKE ?)
DEBUG [main] - ==>  Preparing: SELECT empno,ename,job,mgr,hiredate,sal,comm,deptno FROM scott.emp WHERE (Ename LIKE ? AND Comm LIKE ? AND Sal LIKE ?)
DEBUG [main] - ==> Parameters: %de%(String), %100%(String), %1000%(String)
DEBUG [main] - ==> Parameters: %de%(String), %100%(String), %1000%(String)
TRACE [main] - <==    Columns: EMPNO, ENAME, JOB, MGR, HIREDATE, SAL, COMM, DEPTNO
TRACE [main] - <==    Columns: EMPNO, ENAME, JOB, MGR, HIREDATE, SAL, COMM, DEPTNO
TRACE [main] - <==        Row: 4618, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4618, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4619, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4619, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4620, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4620, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4621, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4621, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4622, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4622, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4623, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4623, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4624, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4624, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4625, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4625, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4626, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4626, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4627, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4627, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4628, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4628, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4629, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4629, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4630, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4630, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4631, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4631, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4632, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4632, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4633, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4633, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4634, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4634, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4635, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4635, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4636, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4636, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4637, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4637, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4638, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4638, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4639, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4639, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4640, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4640, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4641, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4641, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4642, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4642, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4643, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4643, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4644, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4644, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4645, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4645, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4646, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4646, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4647, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4647, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4648, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4648, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4649, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4649, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
TRACE [main] - <==        Row: 4650, default, new, 1, 2023-10-23 18:19:43, 1000, 100, 20
